1613670458.8990002,[]
1613670458.93027,[]
1613670459.9686432,[]
1613670460.001602,[]
1613670461.079885,[]
1613670461.188886,[]
1613670462.2459111,[]
1613670462.2914639,[]
1613670463.437783,[]
1613670463.504631,[]
1613670464.5675032,[]
1613670464.6278772,[]
1613670465.7061288,[]
1613670465.785579,[]
1613670466.856544,[]
1613670466.8988428,[]
1613670467.97573,[]
1613670468.0414028,[]
1613670469.0864232,[]
1613670469.1752582,[]
1613670470.226172,[]
1613670470.29411,[]
1613670471.3845592,[]
1613670471.4717498,[]
1613670472.5698628,[]
1613670472.642962,[]
1613670473.729731,[]
1613670473.79853,[]
1613670474.90408,[]
1613670474.982434,[]
1613670476.114837,[]
1613670476.185982,[]
1613670477.2366679,[]
1613670477.283345,[]
1613670478.341331,[]
1613670478.4044778,[]
1613670479.471475,[]
1613670479.542013,[]
1613670480.60238,[]
1613670480.638963,[]
1613670481.695403,[]
1613670481.8382668,[]
1613670483.027224,[]
1613670483.067159,[]
1613670484.144599,[]
1613670484.224947,[]
1613670485.294492,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670485.328118,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670486.3665469,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670486.422869,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670487.466603,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670487.5419211,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670488.6077728,[]
1613670488.6548,[]
1613670489.7034922,[]
1613670489.737565,[]
1613670490.788008,[]
1613670490.8394399,[]
1613670491.879734,[]
1613670491.933909,[]
1613670493.344011,[]
1613670493.725642,[[{'id': 'user1', 'roles': 'ml_user'}, 'ResponseTime violation on small resource machine']]
1613670494.796832,[]
1613670494.87357,[]
1613670495.916717,[]
1613670495.984792,[]
1613670497.040261,[]
1613670497.070115,[]
1613670498.1393979,[]
1613670498.2204108,[]
1613670499.271391,[]
1613670499.354631,[]
1613670500.387466,[]
1613670500.420207,[]
1613670501.489256,[]
1613670501.537995,[]
1613670502.591978,[]
1613670502.623172,[]
1613670503.674171,[]
1613670503.707078,[]
1613670504.765895,[]
1613670504.8049438,[]
1613670505.872363,[]
1613670505.9343739,[]
1613670506.993551,[]
1613670507.073232,[]
1613670508.145258,[]
1613670508.1753669,[]
1613670509.243049,[]
1613670509.2956228,[]
1613670510.3681269,[]
1613670510.3958411,[]
1613670511.4869819,[]
1613670511.575058,[]
1613670512.618377,[]
1613670512.663121,[]
1613670513.721081,[]
1613670513.767498,[]
1613670514.8502882,[]
1613670514.900882,[]
1613670515.975918,[]
1613670516.075308,[]
1613670517.109216,[]
1613670517.1440809,[]
1613670518.220287,[]
1613670518.2865868,[]
1613670519.344797,[]
1613670519.3735979,[]
1613670520.4571588,[]
1613670520.544307,[]
1613670521.5697868,[]
1613670521.594111,[]
1613670522.6364758,[]
1613670522.663897,[]
1613670523.709105,[]
1613670523.734827,[]
1613670524.784275,[]
1613670524.810545,[]
1613670525.851085,[]
1613670525.8803709,[]
1613670526.937187,[]
1613670526.9663758,[]
1613670528.013942,[]
1613670528.046389,[]
1613670529.116392,[]
1613670529.1962419,[]
1613670530.23915,[]
1613670530.2684832,[]
1613670531.313206,[]
1613670531.341046,[]
1613670532.401811,[]
1613670532.434818,[]
1613670533.495539,[]
1613670533.562997,[]
1613670534.6114402,[]
1613670534.704402,[]
1613670535.753547,[]
1613670535.8168268,[]
1613670536.872183,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670536.9056818,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670537.960854,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670538.042565,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670539.093655,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670539.146407,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670540.244926,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670540.326333,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670541.387048,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670541.421848,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670542.503605,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670542.573184,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670543.6317282,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670543.731972,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670544.774751,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670544.804447,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670545.84182,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
1613670545.870253,[[{'id': 'user1', 'roles': 'ml_user'}, 'Accuracy violation on small resource machine']]
1613670546.910034,[[{'id': 'aaltosea1', 'roles': 'ml_provider'}, 'Data quality violation']]
