id,latitude,longitude,speed,satellite,lock,tracktime
1279,10.71181,106.73685,0,7,1,11/10/2012 2:55
1279,10.71208,106.73702,2,7,1,11/10/2012 2:56
1279,10.71339,106.73705,16,7,1,11/10/2012 2:56
1279,10.71406,106.737,3,7,1,11/10/2012 2:57
1279,10.71492,106.73695,14,7,1,11/10/2012 2:57
1279,10.7165,106.73686,16,7,1,11/10/2012 2:58
1279,10.71838,106.73678,23,7,1,11/10/2012 2:58
1279,10.7204,106.73664,26,7,1,11/10/2012 2:59
1279,10.72106,106.73646,4,7,1,11/10/2012 2:59
